Title,Price,Location,Size,Rooms,Yard
Stakagränd 13,1700000.0,"Örnäset, Luleå kommun",83.0,5.0,764.0
Rutviksreveln 24,3000000.0,"Björsbyn, Luleå kommun",90.0,3.0,2206.0
Kompanivägen 21,4995000.0,"Kronan - Lulsundsberget, Luleå kommun",126.0,5.0,
Värnpliktsgatan 33,7995000.0,"Kronan, Luleå kommun",290.0,6.0,875.0
Västra Villavägen 3B,7500000.0,"Bergnäset, Luleå kommun",286.0,5.0,1002.0
Höjdgatan 8B,745000.0,"Skurholmen, Luleå kommun",26.0,1.0,
Genvägen 16C,1745000.0,"Lövskatan, Luleå kommun",72.0,3.0,
Prinsvägen 1B,1095000.0,"Centrum Varvet, Luleå kommun",26.0,1.0,
Lulsundsgatan 34B,1895000.0,"Centrum - Charlottendal, Luleå kommun",89.0,3.0,
Mjölkuddsvägen 57,1195000.0,"Mjölkudden, Luleå kommun",34.0,1.0,
Småbåtsgatan 10A,4000000.0,"Centrum, Luleå kommun",88.0,3.0,
Östra Pilgatan 32,1095000.0,"Östermalm, Luleå kommun",31.0,1.0,
Faktorsvägen 30,5525000.0,"Bergnäset, Luleå kommun",182.0,7.0,940.0
Smedsträsket 230,995000.0,"Smedsbyn, Luleå kommun",70.0,3.0,54000.0
Västmarksvägen 147,2500000.0,"Västmark, Luleå kommun",230.0,5.0,2605.0
Munkebergsgatan 88,895000.0,"Mjölkudden - Munkeberg, Luleå kommun",33.5,1.0,
Västra Varvsgatan 8,1595000.0,"Centrum Varvet, Luleå kommun",48.0,2.0,
Sinksundsstranden 3,1300000.0,"Sinksundet, Luleå kommun",70.0,3.0,706.0
Tjärnbergsvägen 7,1195000.0,"Råneå, Luleå kommun",167.0,6.0,784.0
Sandviksgatan 36G,1795000.0,"Centrum, Luleå kommun",68.0,2.0,
Sandviksgatan 21,1995000.0,"Centrum, Luleå kommun",67.5,3.0,
Köpmangatan 28,1545000.0,"Centrum, Luleå kommun",48.0,2.0,
Varvsgatan 57 C,1495000.0,"Centrum, Luleå kommun",55.0,2.0,
Genvägen 11,2195000.0,"Lövskatan, Luleå kommun",176.0,3.0,770.0
Mörövägen 209,795000.0,"Mörön, Luleå kommun",36.0,2.0,1944.0
Stationsgatan 68,1495000.0,"Centrum, Luleå kommun",54.0,2.0,
Tallundsvägen 37,4950000.0,"Kallax, Luleå kommun",279.0,7.0,2509.0
Inre Bjursträsk 308,820000.0,"Klöverträsk, Luleå kommun",45.0,2.0,2474.0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Rutvikssundsvägen 56,4695000.0,"Rutvik, Luleå kommun",187.0,5.0,18000.0
Fågeluddsvägen 22,1350000.0,"Mörön, Luleå kommun",55.0,3.0,1658.0
Sandgatan 33b,720000.0,"Svartöstaden, Luleå kommun",38.0,1.0,
Södra Ängesbyn 55,450000.0,"Ängesbyn, Luleå kommun",44.0,3.0,1496.0
Nedantillvägen 11,1495000.0,"Råneå, Luleå kommun",220.0,6.0,885.0
Sandnäsetvägen 308,1395000.0,"Bälinge/Sandnäset, Luleå kommun",100.0,4.0,1112.0
Rörbäck 7,875000.0,"Rörbäck, Luleå kommun",84.0,3.0,1225.0
Ensittarvägen 32,2950000.0,"Södra Sunderbyn, Luleå kommun",180.0,6.0,736.0
Norra Niemiholm 155,,"Råneå, Luleå kommun",,,27000.0
Orrbyn 48,1495000.0,"Råneå, Luleå kommun",260.0,7.0,2267.0
Krongårdsringen 5,695000.0,"Örnäset, Luleå kommun",55.0,2.0,
Tjärhovsgatan 18 B,695000.0,"Gültzauudden, Luleå kommun",22.0,1.0,
Strömsund 5,1695000.0,"Råneå, Luleå kommun",244.0,5.0,4504.0
Krongårdsringen 6C,1150000.0,"Örnäset, Luleå kommun",51.0,2.0,
Flugsnappargränd 13,2045000.0,"Hertsön, Luleå kommun",158.0,4.0,324.0
Läktvägen 24,1245000.0,"Örarna, Luleå kommun",57.0,3.0,1749.0
Alhamns södra strandväg 162,1250000.0,"Alhamn, Luleå kommun",61.0,3.0,2207.0
Skillingvägen 11,3195000.0,"Lerbäcken, Luleå kommun",126.0,4.0,842.0
"Småskär, stuga 11",550000.0,"Småskär/Skatamarksviken, Luleå kommun",45.0,2.0,
Burströmsvägen 116,1295000.0,"Burströmska, Luleå kommun",75.5,3.0,
Genvägen 27 B,995000.0,"Lövskatan, Luleå kommun",40.0,1.0,
Bensby Norriviken 18,1695000.0,"Bensbyn, Luleå kommun",58.0,2.0,2394.0
Dragongatan 4D,1995000.0,"Kronan, Luleå kommun",81.0,4.0,
Hovslagarvägen 4,1395000.0,"Råneå, Luleå kommun",165.0,6.0,817.0
Västra Varvsgatan 14 B,995000.0,"Centrum/Varvet, Luleå kommun",31.0,1.0,
Västra Varvsgatan 22 B,1850000.0,"Centrum/Varvet, Luleå kommun",79.0,3.0,
Ytterstön 7,475000.0,"Ytterstön, Luleå kommun",41.0,2.0,1744.0
Sörnäsudden 324,3295000.0,"Sörnäsudden, Luleå kommun",110.0,3.0,2454.0
Björsbyvägen 16,1995000.0,"Björsbyn, Luleå kommun",48.0,2.0,1172.0
Spränggatan 23B,1395000.0,"Skurholmen, Luleå kommun",52.0,2.0,
Ormisvägen 12,995000.0,"Råneå, Luleå kommun",177.0,6.0,2050.0
Praktikantvägen 33,2595000.0,"Porsösundet, Luleå kommun",171.0,5.0,379.0
Alviksvägen 371,,"Alvik/Långnäs, Luleå kommun",,,12000.0
Öströmsvägen 4B,,"Kallax, Luleå kommun",,,3165.0
Mjölkuddsvägen 47,1495000.0,"Mjölkudden, Luleå kommun",77.0,3.0,
Rörbäcksvägen 617,395000.0,"Råneå, Luleå kommun",55.0,2.0,2000.0
Sandnäsetvägen 70,695000.0,"Avan, Luleå kommun",100.0,5.0,3020.0
Sandnäsetvägen 310,3995000.0,"Sandnäset/Bälinge, Luleå kommun",163.0,5.0,3998.0
Lingonstigen 68,1595000.0,"Kallkällan, Luleå kommun",81.5,3.0,
Stormvägen 147,2295000.0,"Björkskatan, Luleå kommun",115.0,4.0,162.0
Odengatan 10,1395000.0,"Lövskatan, Luleå kommun",55.0,2.0,
Hällbruksgatan 23,1195000.0,"Örnäset, Luleå kommun",56.5,2.0,
Ostibyvägen 11,2495000.0,"Ersnäs, Luleå kommun",175.0,6.0,1830.0
Sandviksgatan 23,1150000.0,"Centrum, Luleå kommun",49.0,2.0,
Sandöskatan 421,2295000.0,"Rörbäck, Luleå kommun",64.0,3.0,1650.0
Vallvägen 8,3595000.0,"Gammelstad, Luleå kommun",179.0,6.0,903.0
Burströmsvägen 12,1250000.0,"Burströmska Gärdan, Luleå kommun",65.0,2.0,
Gränsgatan 8C,1495000.0,"Västra Skurholmen, Luleå kommun",72.0,3.0,
Västergatan 1,1195000.0,"Västra Skurholmen, Luleå kommun",68.0,2.0,
Krokabuskgrundet 64,1895000.0,"Sandön, Luleå kommun",68.0,3.0,4390.0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Sörövägen 120,,"Brändön, Luleå kommun",,,2841.0
Markskogsvägen 219,675000.0,"Persön, Luleå kommun",95.0,4.0,1600.0
Västmarksvägen 61,895000.0,"Västmark - Eriksberg, Luleå kommun",180.0,5.0,4447.0
Niemiholmen 51,895000.0,"Råneå, Luleå kommun",42.0,2.0,2129.0
Lövskärsvägen 658,1295000.0,"Lövskär, Luleå kommun",52.0,2.0,1567.0
Varvsgatan 55,1345000.0,"Centrum, Luleå kommun",55.0,2.0,
Mjölkuddsvägen 29,1195000.0,"Mjölkudden, Luleå kommun",45.5,1.0,
Köpmangatan 16,2895000.0,"Centrum, Luleå kommun",86.0,3.0,
Gunnarsbyvägen 21,595000.0,"Niemisel, Luleå kommun",220.0,4.0,1962.0
Elevvägen 9,2395000.0,"Porsön/Porsösundet, Luleå kommun",171.0,5.0,395.0
Hampmyrvägen 9,3795000.0,"Alvik, Luleå kommun",326.0,8.0,1224.0
Lulnäsvägen 304,2795000.0,"Lulnäset, Luleå kommun",42.0,3.0,2195.0
Alhamnsvägen 632,2695000.0,"Alhamn, Luleå kommun",94.0,2.0,12000.0
Västra Varvsgatan 24A,1075000.0,"Centrum-Varvet, Luleå kommun",40.0,1.0,
Kråknäsvägen 94,895000.0,"Örarna, Luleå kommun",50.0,2.0,1561.0
Alhamnsvägen 618,1495000.0,"Alhamn, Luleå kommun",203.0,4.0,12000.0
Snövägen 198,1195000.0,"Björkskatan, Luleå kommun",62.0,2.0,
Stationsgatan 32A,995000.0,"Centrum, Luleå kommun",20.5,1.0,
Gamla Lövskärsvägen 322,595000.0,"Lövskär, Luleå kommun",50.0,2.0,1327.0
Mjölkuddsvägen 33,1745000.0,"Mjölkudden, Luleå kommun",77.0,3.0,
Krongårdsringen  32,945000.0,"Örnäset, Luleå kommun",61.5,3.0,
Orrbyn 49,2295000.0,"Orrbyn, Luleå kommun",291.0,7.0,8941.0
Backgatan 13,1695000.0,"Östermalm, Luleå kommun",92.0,3.0,
Furufjärdsvägen 174,2495000.0,"Furufjärden / Bodön, Luleå kommun",75.0,2.0,2463.0
Alvägen 20,4195000.0,"Skogsvallen, Luleå kommun",177.8,4.0,786.0
Lindbergavägen 21,995000.0,"Börtnäsheden, Luleå kommun",33.0,1.0,2451.0
Hedbackavägen 115 & 119,,"Luleå, Luleå kommun",,,2475.0
Västra Varvsgatan 20A,1245000.0,"Luleå, Luleå kommun",52.0,2.0,
Sakrislundsvägen 65D,1495000.0,"Mörön, Luleå kommun",52.0,2.0,1470.0
Mjölkuddsvägen 17,1795000.0,"Mjölkudden, Luleå kommun",72.0,3.0,
Disponentvägen 10B,3195000.0,"Karlsvik, Luleå kommun",103.0,4.0,189.0
Backgatan 21,1095000.0,"Östermalm, Luleå kommun",36.8,1.0,
Orrgränd 7,1700000.0,"Hertsön, Luleå kommun",137.0,4.0,292.0
Spränggatan 23,595000.0,"Skurholmen, Luleå kommun",21.0,1.0,
Sandgatan 12,895000.0,"Svartöstaden, Luleå kommun",62.0,2.0,
Åsgatan 4,6800000.0,"Östermalm, Luleå kommun",299.6,7.0,686.0
Hermelinsgatan 28A,2095000.0,"Östermalm, Luleå kommun",80.5,3.0,
Rektorsgatan 36C,1695000.0,"Östermalm, Luleå kommun",57.7,2.0,
Sandgatan 16,1195000.0,"Svartöstaden, Luleå kommun",63.9,2.0,
Hjorthagenvägen 36,795000.0,"Måttsund, Luleå kommun",28.0,2.0,1048.0
Skagsören 80,1295000.0,"Sandön, Luleå kommun",45.0,3.0,1440.0
Laxgatan 17B,995000.0,"Svartöstaden, Luleå kommun",62.0,2.0,
Lundvägen 1,1950000.0,"Bensbyn, Luleå kommun",48.0,2.0,2338.0
Hällbruksgatan 3,995000.0,"Örnnäset, Luleå kommun",40.5,1.0,
Fredsgatan 12B,6500000.0,"Centrum, Luleå kommun",269.0,7.0,451.0
Alhamnsvägen 206,1950000.0,"Alhamn/Vallen, Luleå kommun",62.0,2.0,1873.0
Sunderbyvägen 155,4995000.0,"Södra Sunderbyn, Luleå kommun",223.0,5.0,2550.0
Björkgatan 21,1845000.0,"Bergviken, Luleå kommun",60.5,2.0,
Skogsmyrgatan 17F,2095000.0,"Hällbacken, Luleå kommun",85.0,4.0,
Toppgatan 12B,1295000.0,"Luleå, Luleå kommun",49.0,2.0,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Bränslanvägen 15,5895000.0,"Södra Sunderbyn, Luleå kommun",312.0,6.0,1647.0
Fredsgatan 4,8000000.0,"Gültzauudden, Luleå kommun",367.0,8.0,869.0
