Title,Price,Location,Size,Rooms,Yard,URL
Ljunggatan 2,1645000.0,"Bergviken, Luleå kommun",60.0,2.0,,https://www.hemnet.se/bostad/lagenhet-2rum-bergviken-lulea-kommun-ljunggatan-2-21380805
Dragongatan 4C,1795000.0,"Kronan, Luleå kommun",69.0,3.0,,https://www.hemnet.se/bostad/lagenhet-3rum-kronan-lulea-kommun-dragongatan-4c-21380900
Tallskogsgatan 82,2695000.0,"Hällbacken, Luleå kommun",115.0,5.0,,https://www.hemnet.se/bostad/lagenhet-5rum-hallbacken-lulea-kommun-tallskogsgatan-82-21380731
Tallundsvägen 37,4950000.0,"Kallax, Luleå kommun",279.0,7.0,2509.0,https://www.hemnet.se/bostad/villa-7rum-kallax-lulea-kommun-tallundsvagen-37-21289953
Västra Varvsgatan 22A,1695000.0,"Centrum - Varvet, Luleå kommun",69.0,3.0,,https://www.hemnet.se/bostad/lagenhet-3rum-centrum-varvet-lulea-kommun-vastra-varvsgatan-22a-21380401
Orrgränd 21,1695000.0,"Hertsön, Luleå kommun",137.0,4.0,292.0,https://www.hemnet.se/bostad/villa-4rum-hertson-lulea-kommun-orrgrand-21-21380529
Vallvägen 8,3495000.0,"Gammelstad, Luleå kommun",179.0,6.0,903.0,https://www.hemnet.se/bostad/villa-6rum-gammelstad-lulea-kommun-vallvagen-8-21352669
Selet 72,995000.0,"Selet, Luleå kommun",140.0,4.0,5486.0,https://www.hemnet.se/bostad/villa-4rum-selet-lulea-kommun-selet-72-21380045
Skogsmyrgatan 22,3995000.0,"Hällbacken, Luleå kommun",142.0,4.0,1478.0,https://www.hemnet.se/bostad/villa-4rum-hallbacken-lulea-kommun-skogsmyrgatan-22-21380244
Ängdalsrovägen 294,995000.0,"Ängdalsro, Luleå kommun",70.0,3.0,1575.0,https://www.hemnet.se/bostad/fritidsboende-3rum-angdalsro-lulea-kommun-angdalsrovagen-294-21380528
Sandöskatan 403,1300000.0,"Sandöskatan, Luleå kommun",58.0,3.0,1725.0,https://www.hemnet.se/bostad/fritidsboende-3rum-sandoskatan-lulea-kommun-sandoskatan-403-21380149
Forskarvägen 79 C,995000.0,"Porsön, Luleå kommun",41.0,1.0,,https://www.hemnet.se/bostad/lagenhet-1rum-porson-lulea-kommun-forskarvagen-79-c-21380533
Stationsgatan 14A,2495000.0,"Centrum, Luleå kommun",84.0,4.0,,https://www.hemnet.se/bostad/lagenhet-4rum-centrum-lulea-kommun-stationsgatan-14a-21380515
Västra Varvsgatan 20A,1165000.0,"Centrum-Varvet, Luleå kommun",52.0,2.0,,https://www.hemnet.se/bostad/lagenhet-2rum-centrum-varvet-lulea-kommun-vastra-varvsgatan-20a-21380488
Västra Varvsgatan 20A,1195000.0,"Luleå, Luleå kommun",52.0,2.0,,https://www.hemnet.se/bostad/lagenhet-2rum-lulea-lulea-kommun-vastra-varvsgatan-20a-21332173
Sandviksgatan 77A,1795000.0,"Centrum, Luleå kommun",62.0,2.0,,https://www.hemnet.se/bostad/lagenhet-2rum-centrum-lulea-kommun-sandviksgatan-77a-21380314
Hindersön 4,1350000.0,"Hindersön, Luleå kommun",105.0,4.0,2500.0,https://www.hemnet.se/bostad/fritidsboende-4rum-hinderson-lulea-kommun-hinderson-4-21380175
Söruddsvägen 14,2295000.0,"Lövskär, Luleå kommun",107.0,3.0,1870.0,https://www.hemnet.se/bostad/villa-3rum-lovskar-lulea-kommun-soruddsvagen-14-21380323
Brattknabben 136,1995000.0,"Lillpite, Piteå kommun",100.0,4.0,52000.0,https://www.hemnet.se/bostad/villa-4rum-lillpite-pitea-kommun-brattknabben-136-21376346
